list-none-s,8,1000,1,24000,260089267,10837,60692
list-none-s,12,1000,1,36000,728520258,20236,210815
list-none-s,16,1000,1,48000,1392087170,29001,430776
list-none-s,24,1000,1,72000,2736839712,38011,654758
list-id-none,1,1,4,3,177526,59175,0
list-id-none,1,2,4,6,92172,15362,0
list-id-none,1,4,4,12,160872,13406,0
list-id-none,1,8,4,24,173527,7230,0
list-id-none,1,16,4,48,169437,3529,0
list-id-none,4,1,4,12,183975,15331,0
list-id-none,4,4,4,48,142400,2966,0
list-id-none,4,16,4,192,204275,1063,0
list-id-none,8,2,4,48,284509,5927,0
list-id-none,8,4,4,96,305166,3178,0
list-id-none,12,1,4,36,420983,11693,0
list-id-none,12,2,4,72,333180,4627,0
list-id-none,16,1,4,48,499921,10415,0
list-id-none,16,2,4,96,458671,4777,0
list-id-s,1,10,4,30,105053,3501,34
list-id-s,1,20,4,60,130808,2180,25
list-id-s,1,40,4,120,163529,1362,25
list-id-s,1,80,4,240,288078,1200,22
list-id-s,4,10,4,120,153354,1277,508
list-id-s,4,20,4,240,268530,1118,719
list-id-s,4,40,4,480,446593,930,1159
list-id-s,4,80,4,960,723468,753,1023
list-id-s,8,10,4,240,372864,1553,1786
list-id-s,8,20,4,480,2729667,5686,35008
list-id-s,8,40,4,960,753843,785,2506
list-id-s,8,80,4,1920,1528178,795,3304
list-id-s,12,10,4,360,436164,1211,572
list-id-s,12,20,4,720,550601,764,2277
list-id-s,12,40,4,1440,1100875,764,4891
list-id-s,12,80,4,2880,2364420,820,6144
list-id-s,16,10,4,480,536914,1118,408
list-id-s,16,20,4,960,638880,665,2286
list-id-s,16,40,4,1920,1516076,789,6702
list-id-s,16,80,4,3840,3690838,961,10993
list-id-m,1,10,4,30,121196,4039,82
list-id-m,1,20,4,60,192146,3202,53
list-id-m,1,40,4,120,181367,1511,38
list-id-m,1,80,4,240,246804,1028,32
list-id-m,4,10,4,120,246818,2056,1014
list-id-m,4,20,4,240,318693,1327,1438
list-id-m,4,40,4,480,465396,969,1340
list-id-m,4,80,4,960,861982,897,1327
list-id-m,8,10,4,240,378974,1579,2357
list-id-m,8,20,4,480,505411,1052,2465
list-id-m,8,40,4,960,826841,861,3144
list-id-m,8,80,4,1920,1456828,758,2972
list-id-m,12,10,4,360,432286,1200,1539
list-id-m,12,20,4,720,687187,954,4153
list-id-m,12,40,4,1440,1196463,830,5048
list-id-m,12,80,4,2880,2379388,826,5824
list-id-m,16,10,4,480,567891,1183,2869
list-id-m,16,20,4,960,848374,883,5403
list-id-m,16,40,4,1920,1605048,835,7206
list-id-m,16,80,4,3840,3384016,881,6959
list-none-s,1,1000,1,3000,4212069,1404,22
list-none-s,1,1000,4,3000,1430888,476,21
list-none-s,1,1000,8,3000,932064,310,21
list-none-s,1,1000,16,3000,684547,228,21
list-none-s,2,1000,1,6000,11315286,1885,1286
list-none-s,2,1000,4,6000,4305093,717,285
list-none-s,2,1000,8,6000,2686130,447,183
list-none-s,2,1000,16,6000,2103690,350,147
list-none-s,4,1000,1,12000,55237462,4603,13125
list-none-s,4,1000,4,12000,14716054,1226,1960
list-none-s,4,1000,8,12000,5982225,498,587
list-none-s,4,1000,16,12000,3640967,303,317
list-none-s,8,1000,1,24000,283134635,11797,82174
list-none-s,8,1000,4,24000,40337581,1680,8417
list-none-s,8,1000,8,24000,14747563,614,2258
list-none-s,8,1000,16,24000,7191621,299,844
list-none-s,12,1000,1,36000,653290706,18146,179201
list-none-s,12,1000,4,36000,82672095,2296,19567
list-none-s,12,1000,8,36000,29861382,829,5813
list-none-s,12,1000,16,36000,12782721,355,1802
list-none-m,1,1000,1,3000,4312097,1437,28
list-none-m,1,1000,4,3000,1428214,476,24
list-none-m,1,1000,8,3000,972580,324,23
list-none-m,1,1000,16,3000,817036,272,28
list-none-m,2,1000,1,6000,16597697,2766,2735
list-none-m,2,1000,4,6000,5449983,908,479
list-none-m,2,1000,8,6000,3473616,578,266
list-none-m,2,1000,16,6000,2508273,418,187
list-none-m,4,1000,1,12000,51567165,4297,10096
list-none-m,4,1000,4,12000,15036016,1253,2239
list-none-m,4,1000,8,12000,7319479,609,814
list-none-m,4,1000,16,12000,4338598,361,383
