add-none,1,100,200,95000,475,0
add-none,1,1000,2000,83000,41,0
add-none,1,10000,20000,261000,13,0
add-none,1,100000,200000,1321000,6,0
add-none,2,100,400,127000,317,0
add-none,2,1000,4000,185000,46,0
add-none,2,10000,40000,528000,13,723
add-none,2,100000,400000,3167000,7,12264
add-none,4,100,800,399000,498,0
add-none,4,1000,8000,186000,23,90
add-none,4,10000,80000,1482000,18,-815
add-none,4,100000,800000,9714000,12,-63554
add-none,8,100,1600,244000,152,5
add-none,8,1000,16000,366000,22,722
add-none,8,10000,160000,2047000,12,-2883
add-none,8,100000,1600000,21812000,13,-70938
add-none,12,100,2400,641000,267,13
add-none,12,1000,24000,426000,17,-227
add-none,12,10000,240000,4700000,19,3238
add-none,12,100000,2400000,29708000,12,-85829
add-none,1,10,20,95000,4750,0
add-none,1,20,40,103000,2575,0
add-none,1,40,80,98000,1225,0
add-none,1,80,160,138000,862,0
add-none,1,100,200,231000,1155,0
add-none,1,1000,2000,108000,54,0
add-none,1,10000,20000,254000,12,0
add-none,1,100000,200000,1202000,6,0
add-none,2,10,40,241000,6025,0
add-none,2,20,80,142000,1775,5
add-none,2,40,160,280000,1750,0
add-none,2,80,320,112000,350,0
add-none,2,100,400,106000,265,0
add-none,2,1000,4000,153000,38,-49
add-none,2,10000,40000,650000,16,-3894
add-none,2,100000,400000,4844000,12,-37403
add-none,4,10,80,148000,1850,0
add-none,4,20,160,180000,1125,-3
add-none,4,40,320,140000,437,0
add-none,4,80,640,196000,306,0
add-none,4,100,800,449000,561,0
add-none,4,1000,8000,180000,22,-663
add-none,4,10000,80000,1322000,16,4314
add-none,4,100000,800000,9581000,11,-12231
add-none,8,10,160,342000,2137,0
add-none,8,20,320,355000,1109,0
add-none,8,40,640,613000,957,0
add-none,8,80,1280,441000,344,2
add-none,8,100,1600,250000,156,-16
add-none,8,1000,16000,471000,29,0
add-none,8,10000,160000,2034000,12,-954
add-none,8,100000,1600000,16419000,10,-92643
add-none,12,10,240,2039000,8495,0
add-none,12,20,480,472000,983,0
add-none,12,40,960,338000,352,-7
add-none,12,80,1920,321000,167,14
add-none,12,100,2400,330000,137,-22
